id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1073580754313849898,City View| Free Parking+Pool| 7 min walk to Train,557710252,Angeline,,South Brisbane,-27.47616,153.01692,Entire home/apt,207,1,113,2025-10-30,5.45,2,149,69,
1073639864491826654,Right in the middle of City ctr,554155758,Kylie,,Brisbane City,-27.4721399,153.0269571,Entire home/apt,198,3,60,2025-11-09,2.79,2,300,33,
1073676074691528763,"Discover urban bliss,1-bedroom. King bed",544376377,Robert,,South Brisbane,-27.47307,153.01465,Entire home/apt,275,1,20,2025-09-29,0.97,2,263,9,
1073792290037916265,Charming heritage house in the heart of the city,105772834,Jenny,,Woolloongabba,-27.48839,153.02996,Entire home/apt,289,2,63,2025-10-26,2.99,1,324,34,
1074256470349225890,Clean 1 Bdr Apt w/ AC & Kitchen | Parking | 139AF1,525145710,Smart-Suites,,Rocklea - Acacia Ridge,-27.55406,153.01628,Entire home/apt,258,1,13,2025-10-21,0.60,105,365,5,
1074322926006925000,CASSA ONE - Luxury River-View 1 Bed Apt CBD,464306667,Yu-Chun,,Brisbane City,-27.4705056,153.0219312,Entire home/apt,193,2,24,2025-10-06,1.11,36,146,9,
1074335553628847240,1 Bdr Apt w/ AC & Kitchen | Parking | 135AF1,525145710,Smart-Suites,,Rocklea - Acacia Ridge,-27.55396,153.01617,Entire home/apt,230,1,11,2025-02-16,0.51,105,363,3,
1074393757549072605,Relaxed stay close to everything,489418074,Scott,,Newstead - Bowen Hills,-27.446406174074255,153.03077057003975,Entire home/apt,228,2,60,2025-10-18,3.05,1,282,34,
1074825138495147977,Cozy Hamilton Apt w/ Brisbane's Best Rooftop Pool,78924442,Lee,,Eagle Farm - Pinkenba,-27.440006286180594,153.0707793591302,Entire home/apt,138,1,73,2025-10-22,3.35,291,312,44,
1074950120762735985,Wishart 1BR/1BA Splendid Home with Parking M15,166518895,Alice,,Wishart,-27.54853,153.10424,Entire home/apt,142,2,25,2025-11-10,1.20,43,68,12,
1075071599819734574,Stylish Riverside 1Bed/Studio with Rooftop Pool,86996821,Maeva,,Brisbane City,-27.4669323,153.0164563,Entire home/apt,129,1,25,2025-10-04,1.18,4,280,6,
1075088043045236892,Brand New Micro Apartment for 2 (Lotus),259134410,Priscilla,,Wynnum,-27.43732,153.16122,Entire home/apt,137,2,30,2025-09-16,1.43,2,114,19,
1075111801185049591,1 Bdr Apt w/ AC | Covered Parking | 414F1,525145710,Smart-Suites,,Rocklea - Acacia Ridge,-27.5549,153.01543,Entire home/apt,258,1,9,2025-09-26,0.41,105,327,2,
1075198301259944490,Entire Guest Suite in Kenmore,160506517,Xue,,Kenmore,-27.51385,152.93436,Entire home/apt,,10,17,2025-06-22,0.78,1,0,5,
1075585415972149409,Suits for Family stay 2 bedroom,2318421,Bell,,Auchenflower,-27.47539,153.00175,Entire home/apt,335,3,0,,,5,72,0,
1075700447778125855,Vibrant 2BR River View Apt|CBD|Shared Pool & Gym,518837724,Alice,,Brisbane City,-27.47159,153.02861,Entire home/apt,238,1,137,2025-11-07,6.44,1,76,67,
1075777135709872011,Self-contained Guest house (Granny Flat),137949684,Srinivas,,Wooloowin - Lutwyche,-27.4148464,153.0450433,Entire home/apt,135,3,0,,,1,265,0,
